Order,,,Tag Code,,,Reader,Mux,RSSI,,Time
52018,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473485
52019,TAG_READ,,c50000000000000000000916,,,1,4,-64,1.52E+12,1520473485
52020,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473485
52021,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473485
52022,TAG_READ,,c50000000000000000000883,,,1,1,-70,1.52E+12,1520473485
52023,TAG_READ,,c50000000000000000000916,,,1,3,-65,1.52E+12,1520473485
52024,TAG_READ,,c50000000000000000000048,,,1,2,-68,1.52E+12,1520473486
52025,TAG_READ,,c50000000000000000000916,,,1,4,-64,1.52E+12,1520473486
52026,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52E+12,1520473486
52027,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52E+12,1520473486
52028,TAG_READ,,c50000000000000000000048,,,1,4,-64,1.52E+12,1520473486
52029,TAG_READ,,c50000000000000000000916,,,1,4,-64,1.52E+12,1520473486
52030,TAG_READ,,c50000000000000000000292,,,1,1,-68,1.52E+12,1520473486
52031,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52E+12,1520473486
52032,TAG_READ,,c50000000000000000000916,,,1,3,-67,1.52E+12,1520473486
52033,TAG_READ,,c50000000000000000000048,,,1,2,-69,1.52E+12,1520473486
52034,TAG_READ,,c50000000000000000000235,,,1,4,-65,1.52E+12,1520473486
52035,TAG_READ,,c50000000000000000000315,,,1,1,-71,1.52E+12,1520473486
52036,TAG_READ,,c50000000000000000000048,,,1,3,-69,1.52E+12,1520473487
52037,TAG_READ,,c50000000000000000000048,,,1,4,-65,1.52E+12,1520473487
52038,TAG_READ,,c50000000000000000000883,,,1,4,-73,1.52E+12,1520473487
52040,TAG_ALARM,EPC_EAS,c50000000000000000000048,,,1,,,1.52E+12,1520473487
52040,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52E+12,1520473487
52041,TAG_READ,,c50000000000000000000916,,,1,4,-64,1.52E+12,1520473487
