Order,Tag,,Tag Code,,,Reader,Mux,RSSI,,Time
37535,TAG_READ,,c50000000000000000000610,,,1,1,-70,1.52045E+12,450692
37536,TAG_READ,,c50000000000000000000155,,,1,1,-71,1.52045E+12,450692
37537,TAG_READ,,c50000000000000000000765,,,1,1,-67,1.52045E+12,450692
37538,TAG_READ,,c50000000000000000000710,,,1,1,-67,1.52045E+12,450692
37539,TAG_READ,,c50000000000000000000485,,,1,1,-74,1.52045E+12,450692
37540,TAG_READ,,c50000000000000000000158,,,1,1,-66,1.52045E+12,450692
37541,TAG_READ,,c50000000000000000000859,,,1,1,-66,1.52045E+12,450692
37542,TAG_READ,,c50000000000000000000581,,,1,1,-73,1.52045E+12,450692
37543,TAG_READ,,c50000000000000000000802,,,1,1,-72,1.52045E+12,450692
37544,TAG_READ,,c50000000000000000000315,,,1,1,-69,1.52045E+12,450692
37545,TAG_READ,,c50000000000000000000420,,,1,1,-71,1.52045E+12,450692
37546,TAG_READ,,08303242b99c64e60f087f9359028400,,,1,1,-70,1.52045E+12,450692
37547,TAG_READ,,c50000000000000000000909,,,1,1,-71,1.52045E+12,450692
37548,TAG_READ,,c50000000000000000000324,,,1,4,-63,1.52045E+12,450692
37549,TAG_READ,,abacab000000000000000468,,,1,4,-72,1.52045E+12,450692
37550,TAG_READ,,c50000000000000000000802,,,1,4,-71,1.52045E+12,450692
37551,TAG_READ,,c50000000000000000000386,,,1,4,-72,1.52045E+12,450692
37552,TAG_READ,,c50000000000000000000764,,,1,4,-67,1.52045E+12,450692
37553,TAG_READ,,c50000000000000000000503,,,1,4,-70,1.52045E+12,450692
37554,TAG_READ,,c50000000000000000000048,,,1,4,-64,1.52045E+12,450692
37555,TAG_READ,,c50000000000000000000039,,,1,4,-68,1.52045E+12,450692
37556,TAG_READ,,c50000000000000000000765,,,1,4,-66,1.52045E+12,450692
37557,TAG_READ,,08303242b99c64e60f087f9359028400,,,1,4,-71,1.52045E+12,450692
37558,TAG_READ,,c50000000000000000000155,,,1,4,-71,1.52045E+12,450692
37559,TAG_READ,,c50000000000000000000155,,,1,4,-76,1.52045E+12,450692
37560,TAG_READ,,c50000000000000000000334,,,1,4,-55,1.52045E+12,450692
37561,TAG_READ,,c50000000000000000000048,,,1,4,-65,1.52045E+12,450692
37562,TAG_READ,,c50000000000000000000503,,,1,4,-67,1.52045E+12,450692
37563,TAG_READ,,c50000000000000000000710,,,1,4,-67,1.52045E+12,450692
37564,TAG_READ,,c50000000000000000000039,,,1,4,-67,1.52045E+12,450692
37565,TAG_READ,,c50000000000000000000802,,,1,4,-71,1.52045E+12,450692
37566,TAG_READ,,c50000000000000000000859,,,1,4,-67,1.52045E+12,450692
37567,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,4,-64,1.52045E+12,450692
37568,TAG_READ,,c50000000000000000000900,,,1,4,-72,1.52045E+12,450692
37569,TAG_READ,,c50000000000000000000764,,,1,4,-69,1.52045E+12,450692
37570,TAG_READ,,c50000000000000000000691,,,1,4,-72,1.52045E+12,450692
37571,TAG_READ,,c50000000000000000000841,,,1,4,-71,1.52045E+12,450692
37572,TAG_READ,,c50000000000000000000581,,,1,4,-71,1.52045E+12,450692
37573,TAG_READ,,c50000000000000000000158,,,1,4,-73,1.52045E+12,450692
37574,TAG_READ,,abacab000000000000000468,,,1,4,-67,1.52045E+12,450692
37575,TAG_READ,,c50000000000000000000352,,,1,4,-68,1.52045E+12,450692
37576,TAG_READ,,c50000000000000000000315,,,1,4,-69,1.52045E+12,450692
37577,TAG_READ,,abacab000000000000000481,,,1,4,-71,1.52045E+12,450692
37578,TAG_READ,,c50000000000000000000803,,,1,4,-70,1.52045E+12,450692
37579,TAG_READ,,c50000000000000000000765,,,1,4,-71,1.52045E+12,450692
37580,TAG_READ,,abacab000000000000000258,,,1,4,-71,1.52045E+12,450692
37581,TAG_READ,,abacab000000000000000270,,,1,4,-69,1.52045E+12,450692
37582,TAG_READ,,c50000000000000000000027,,,1,4,-74,1.52045E+12,450692
37583,TAG_READ,,c50000000000000000000623,,,1,4,-70,1.52045E+12,450692
37584,TAG_READ,,c50000000000000000000444,,,1,4,-71,1.52045E+12,450692
37585,TAG_READ,,08306171706a2a7d0235cb550e030400,,,1,4,-71,1.52045E+12,450692
37586,TAG_READ,,08303242b99c64e60f087f9359028400,,,1,4,-67,1.52045E+12,450692
37587,TAG_READ,,c50000000000000000000485,,,1,4,-72,1.52045E+12,450692
37588,TAG_READ,,08280df2657df50d2c6094787ee18400,,,1,4,-70,1.52045E+12,450692
37589,TAG_READ,,c50000000000000000000324,,,1,4,-68,1.52045E+12,450692
37590,TAG_READ,,c50000000000000000000323,,,1,4,-66,1.52045E+12,450692
37591,TAG_READ,,c50000000000000000000334,,,1,2,-58,1.52045E+12,450693
37592,TAG_READ,,c50000000000000000000916,,,1,2,-61,1.52045E+12,450693
37593,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-66,1.52045E+12,450693
37594,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,1,-59,1.52045E+12,450693
37595,TAG_READ,,c50000000000000000000158,,,1,1,-64,1.52045E+12,450693
37596,TAG_READ,,c50000000000000000000323,,,1,1,-67,1.52045E+12,450693
37597,TAG_READ,,c50000000000000000000623,,,1,1,-70,1.52045E+12,450693
37598,TAG_READ,,08306171706a2a7d0235cb550e030400,,,1,1,-70,1.52045E+12,450693
37599,TAG_READ,,c50000000000000000000352,,,1,1,-70,1.52045E+12,450693
37600,TAG_READ,,c50000000000000000000803,,,1,1,-70,1.52045E+12,450693
37601,TAG_READ,,c50000000000000000000334,,,1,1,-53,1.52045E+12,450693
37602,TAG_READ,,c50000000000000000000859,,,1,1,-70,1.52045E+12,450693
37603,TAG_READ,,c50000000000000000000334,,,1,1,-49,1.52045E+12,450693
37604,TAG_READ,,c50000000000000000000243,,,1,1,-74,1.52045E+12,450693
37605,TAG_READ,,c50000000000000000000158,,,1,1,-63,1.52045E+12,450693
